ma_thanh_vien,ho_ten,email,so_dien_thoai,ma_buu_chinh,nam_sinh,ma_mo_ho,tong_chi_tieu
TV-000,Nguyễn Văn An,thanh.vien000@example.invalid,+84-901-000-00,10000,1970,A0000,1000000
TV-001,Trần Thị Bình,thanh.vien001@example.invalid,+84-901-001-01,10001,1971,A0001,1125000
TV-002,Lê Minh Chi,thanh.vien002@example.invalid,+84-901-002-02,10002,1972,A0002,1250000
TV-003,Phạm Ngọc Dũng,thanh.vien003@example.invalid,+84-901-003-03,10003,1973,A0003,1375000
TV-004,Võ Thu Hà,thanh.vien004@example.invalid,+84-901-004-04,10004,1974,A0004,1500000
TV-005,Nguyễn Văn Lan,thanh.vien005@example.invalid,+84-901-005-05,10005,1975,A0005,1625000
TV-006,Trần Thị An,thanh.vien006@example.invalid,+84-901-006-06,10006,1976,A0006,1750000
TV-007,Lê Minh Bình,thanh.vien007@example.invalid,+84-901-007-07,10007,1977,A0007,1875000
TV-008,Phạm Ngọc Chi,thanh.vien008@example.invalid,+84-901-008-08,10008,1978,A0008,2000000
TV-009,Võ Thu Dũng,thanh.vien009@example.invalid,+84-901-009-09,10009,1979,A0009,2125000
TV-010,Nguyễn Văn Hà,thanh.vien010@example.invalid,+84-901-010-10,10000,1980,A0010,2250000
TV-011,Trần Thị Lan,thanh.vien011@example.invalid,+84-901-011-11,10001,1981,A0011,2375000
TV-012,Lê Minh An,thanh.vien012@example.invalid,+84-901-012-12,10002,1982,A0012,2500000
TV-013,Phạm Ngọc Bình,thanh.vien013@example.invalid,+84-901-013-13,10003,1983,A0013,2625000
TV-014,Võ Thu Chi,thanh.vien014@example.invalid,+84-901-014-14,10004,1984,A0014,2750000
TV-015,Nguyễn Văn Dũng,thanh.vien015@example.invalid,+84-901-015-15,10005,1985,A0015,2875000
TV-016,Trần Thị Hà,thanh.vien016@example.invalid,+84-901-016-16,10006,1986,A0016,3000000
TV-017,Lê Minh Lan,thanh.vien017@example.invalid,+84-901-017-17,10007,1987,A0017,3125000
TV-018,Phạm Ngọc An,thanh.vien018@example.invalid,+84-901-018-18,10008,1988,A0018,3250000
TV-019,Võ Thu Bình,thanh.vien019@example.invalid,+84-901-019-19,10009,1989,A0019,3375000
TV-020,Nguyễn Văn Chi,thanh.vien020@example.invalid,+84-901-020-20,10000,1990,A0020,3500000
TV-021,Trần Thị Dũng,thanh.vien021@example.invalid,+84-901-021-21,10001,1991,A0021,3625000
TV-022,Lê Minh Hà,thanh.vien022@example.invalid,+84-901-022-22,10002,1992,A0022,3750000
TV-023,Phạm Ngọc Lan,thanh.vien023@example.invalid,+84-901-023-23,10003,1993,A0023,3875000
TV-024,Võ Thu An,thanh.vien024@example.invalid,+84-901-024-24,10004,1994,A0024,4000000
TV-025,Nguyễn Văn Bình,thanh.vien025@example.invalid,+84-901-025-25,10005,1995,A0025,4125000
TV-026,Trần Thị Chi,thanh.vien026@example.invalid,+84-901-026-26,10006,1996,A0026,4250000
TV-027,Lê Minh Dũng,thanh.vien027@example.invalid,+84-901-027-27,10007,1997,A0027,4375000
TV-028,Phạm Ngọc Hà,thanh.vien028@example.invalid,+84-901-028-28,10008,1998,A0028,4500000
TV-029,Võ Thu Lan,thanh.vien029@example.invalid,+84-901-029-29,10009,1999,A0029,4625000
TV-030,Nguyễn Văn An,thanh.vien030@example.invalid,+84-901-030-30,10000,2000,A0030,4750000
TV-031,Trần Thị Bình,thanh.vien031@example.invalid,+84-901-031-31,10001,2001,A0031,4875000
TV-032,Lê Minh Chi,thanh.vien032@example.invalid,+84-901-032-32,10002,2002,A0032,5000000
TV-033,Phạm Ngọc Dũng,thanh.vien033@example.invalid,+84-901-033-33,10003,2003,A0033,5125000
TV-034,Võ Thu Hà,thanh.vien034@example.invalid,+84-901-034-34,10004,2004,A0034,5250000
TV-035,Nguyễn Văn Lan,thanh.vien035@example.invalid,+84-901-035-35,10005,1970,A0035,5375000
TV-036,Trần Thị An,thanh.vien036@example.invalid,+84-901-036-36,10006,1971,A0036,5500000
TV-037,Lê Minh Bình,thanh.vien037@example.invalid,+84-901-037-37,10007,1972,A0037,5625000
TV-038,Phạm Ngọc Chi,thanh.vien038@example.invalid,+84-901-038-38,10008,1973,A0038,5750000
TV-039,Võ Thu Dũng,thanh.vien039@example.invalid,+84-901-039-39,10009,1974,A0039,5875000
TV-040,Nguyễn Văn Hà,thanh.vien040@example.invalid,+84-901-040-40,10000,1975,A0040,6000000
TV-041,Trần Thị Lan,thanh.vien041@example.invalid,+84-901-041-41,10001,1976,A0041,6125000
TV-042,Lê Minh An,thanh.vien042@example.invalid,+84-901-042-42,10002,1977,A0042,6250000
TV-043,Phạm Ngọc Bình,thanh.vien043@example.invalid,+84-901-043-43,10003,1978,A0043,6375000
TV-044,Võ Thu Chi,thanh.vien044@example.invalid,+84-901-044-44,10004,1979,A0044,6500000
TV-045,Nguyễn Văn Dũng,thanh.vien045@example.invalid,+84-901-045-45,10005,1980,A0045,6625000
TV-046,Trần Thị Hà,thanh.vien046@example.invalid,+84-901-046-46,10006,1981,A0046,6750000
TV-047,Lê Minh Lan,thanh.vien047@example.invalid,+84-901-047-47,10007,1982,A0047,6875000
TV-048,Phạm Ngọc An,thanh.vien048@example.invalid,+84-901-048-48,10008,1983,A0048,7000000
TV-049,Võ Thu Bình,thanh.vien049@example.invalid,+84-901-049-49,10009,1984,A0049,7125000
TV-050,Nguyễn Văn Chi,thanh.vien050@example.invalid,+84-901-050-50,10000,1985,A0050,7250000
TV-051,Trần Thị Dũng,thanh.vien051@example.invalid,+84-901-051-51,10001,1986,A0051,7375000
TV-052,Lê Minh Hà,thanh.vien052@example.invalid,+84-901-052-52,10002,1987,A0052,7500000
TV-053,Phạm Ngọc Lan,thanh.vien053@example.invalid,+84-901-053-53,10003,1988,A0053,7625000
TV-054,Võ Thu An,thanh.vien054@example.invalid,+84-901-054-54,10004,1989,A0054,7750000
TV-055,Nguyễn Văn Bình,thanh.vien055@example.invalid,+84-901-055-55,10005,1990,A0055,7875000
TV-056,Trần Thị Chi,thanh.vien056@example.invalid,+84-901-056-56,10006,1991,A0056,8000000
TV-057,Lê Minh Dũng,thanh.vien057@example.invalid,+84-901-057-57,10007,1992,A0057,8125000
TV-058,Phạm Ngọc Hà,thanh.vien058@example.invalid,+84-901-058-58,10008,1993,A0058,8250000
TV-059,Võ Thu Lan,thanh.vien059@example.invalid,+84-901-059-59,10009,1994,A0059,8375000
